iter	MultiClass
0	1.724523325
1	1.664870998
2	1.611169712
3	1.550347814
4	1.500202143
5	1.451982778
6	1.409314469
7	1.365338778
8	1.326238489
9	1.287541059
10	1.248835245
11	1.223020576
12	1.195477113
13	1.166995407
14	1.136916081
15	1.10899377
16	1.088503417
17	1.067767169
18	1.047085145
19	1.030398112
20	1.011380825
21	0.9887515977
22	0.9692506097
23	0.9517332036
24	0.9374692968
25	0.924377125
26	0.9073963113
27	0.8912498834
28	0.8767780182
29	0.8603087081
30	0.8463345204
31	0.8325481659
32	0.8165511676
33	0.7987550554
34	0.787305777
35	0.7749598587
36	0.7655728973
37	0.7561818772
38	0.7464316411
39	0.7404119301
40	0.7304178912
41	0.7186726548
42	0.7085607354
43	0.699383882
44	0.6888986661
45	0.6816321323
46	0.6722767418
47	0.6639137444
48	0.6529619815
49	0.6422782784
50	0.6338858582
51	0.6257473055
52	0.6175975805
53	0.6115923086
54	0.6044493908
55	0.5985188631
56	0.5927303386
57	0.5862604813
58	0.5808349328
59	0.5753907555
60	0.567879492
61	0.5632933338
62	0.5599993368
63	0.5540179807
64	0.5468165807
65	0.540968536
66	0.5335376044
67	0.5274816392
68	0.5210722545
69	0.5144901832
70	0.5069403657
71	0.5007409077
72	0.4961357965
73	0.4908665688
74	0.485694571
75	0.478993722
76	0.4741422276
77	0.4695360427
78	0.4656431781
79	0.4610802674
80	0.4562762059
81	0.4515895303
82	0.4457876401
83	0.4427227954
84	0.4391302746
85	0.4362841925
86	0.4320733362
87	0.4273132731
88	0.4250249912
89	0.4193720199
90	0.4152204112
91	0.410035613
92	0.4054977371
93	0.4006066999
94	0.3966101032
95	0.3933444029
96	0.3899072286
97	0.3865342942
98	0.3816631542
99	0.3773885976
100	0.3738806435
101	0.3702549803
102	0.3680188065
103	0.3642961005
104	0.3602262856
105	0.357045922
106	0.353479589
107	0.3504269432
108	0.3474768632
109	0.344104398
110	0.3415120347
111	0.3377779026
112	0.3349414404
113	0.3321459879
114	0.3284985585
115	0.3258851406
116	0.3229073445
117	0.3204840045
118	0.3182753798
119	0.3160199218
120	0.3129215464
121	0.3108638503
122	0.3083811746
123	0.30655095
124	0.3034278518
125	0.3009039596
126	0.2977411488
127	0.2942023241
128	0.2917656529
129	0.2893417113
130	0.2865647728
131	0.2843721682
132	0.2818858104
133	0.2799852468
134	0.2775554102
135	0.2754104968
136	0.2712980733
137	0.2688524545
138	0.2668436989
139	0.2661302788
140	0.2649855066
141	0.2635086747
142	0.2619100603
143	0.2610370973
144	0.2594948921
145	0.2577996162
146	0.2558585762
147	0.2539465426
148	0.2520791099
149	0.2497739519
150	0.2479209887
151	0.24621933
152	0.2447712674
153	0.2422944693
154	0.2398875155
155	0.2377811368
156	0.2362315706
157	0.2339470529
158	0.232898616
159	0.2315314424
160	0.2297360694
161	0.2282858123
162	0.2267906131
163	0.225858998
164	0.2242727974
165	0.2227372167
166	0.2206974744
167	0.2190332425
168	0.2172332098
169	0.215928281
170	0.2139235881
171	0.2123676223
172	0.2107323384
173	0.2093203265
174	0.2076579675
175	0.2065189914
176	0.2052322965
177	0.2042240211
178	0.2026976228
179	0.2013761278
180	0.2002135733
181	0.1998124733
182	0.1985212336
183	0.1977324533
184	0.1965226491
185	0.1951255347
186	0.1940237261
187	0.1932342222
188	0.19226906
189	0.1918773432
190	0.1903437636
191	0.1895662988
192	0.1884022614
193	0.1872877078
194	0.1866848659
195	0.1858532942
196	0.1847147112
197	0.183487627
198	0.1824558362
199	0.1817259809
200	0.1814435115
201	0.1803008544
202	0.1796637736
203	0.1787624319
204	0.1774286758
205	0.1762851739
206	0.1750802352
207	0.174120488
208	0.1729083901
209	0.1717760729
210	0.1707612681
211	0.1705080284
212	0.1700889651
213	0.1690683705
214	0.1684482023
215	0.1674200074
216	0.166438406
217	0.1656155501
218	0.1648301048
219	0.1642855324
220	0.1631482979
221	0.1627334464
222	0.1620482944
223	0.1613486398
224	0.1611278897
225	0.1600908871
226	0.1594957665
227	0.1586889978
228	0.1579292213
229	0.1577196709
230	0.156664235
231	0.155705445
232	0.1547591712
233	0.1537602202
234	0.1528924355
235	0.1521586841
236	0.1516085942
237	0.1509398008
238	0.1501640733
239	0.1493649523
240	0.1487136602
241	0.1478418405
242	0.1473374983
243	0.1464355038
244	0.145764954
245	0.1450633005
246	0.1441470771
247	0.1432397398
248	0.1427598091
249	0.1421675811
250	0.1414317618
251	0.1407840546
252	0.1400723105
253	0.1391019018
254	0.1384043722
255	0.1376494089
256	0.1371120243
257	0.1365205248
258	0.1360294808
259	0.1354498936
260	0.1346674467
261	0.1341541518
262	0.1331510345
263	0.1325879397
264	0.131946506
265	0.1313162971
266	0.1307832252
267	0.1299615296
268	0.1294902634
269	0.1289782949
270	0.128400736
271	0.1279120741
272	0.1273844957
273	0.1269532293
274	0.1265075004
275	0.1260833549
276	0.1255938145
277	0.1250320712
278	0.1243775102
279	0.1237658247
280	0.1231781368
281	0.1224095142
282	0.1215184227
283	0.1210145084
284	0.1206684583
285	0.1202542728
286	0.1201053602
287	0.1197175664
288	0.1192554036
289	0.1187758409
290	0.1184487229
291	0.1181136362
292	0.1177140235
293	0.1172180232
294	0.1168102555
295	0.1163649276
296	0.1159655749
297	0.1156786856
298	0.1153094216
299	0.1149108895
300	0.1145871134
301	0.1141744461
302	0.1136784824
303	0.1130988925
304	0.1127685519
305	0.1124717373
306	0.1118186591
307	0.111378232
308	0.1108910369
309	0.1105192628
310	0.1100072383
311	0.109491652
312	0.1091001494
313	0.1085165548
314	0.1078234919
315	0.1074072841
316	0.1069699699
317	0.106607338
318	0.1062218994
319	0.1058758346
320	0.1055410647
321	0.1050964369
322	0.1049123471
323	0.1045458445
324	0.1040443794
325	0.1036272848
326	0.1032581924
327	0.1029606902
328	0.1026006692
329	0.102240452
330	0.1017463221
331	0.1015678546
332	0.1011727083
333	0.1006922824
334	0.1003717181
335	0.1000169106
336	0.09970953811
337	0.09941480399
338	0.09901895359
339	0.0987324582
340	0.09858522177
341	0.09810402693
342	0.09783751418
343	0.09732200355
344	0.09688125315
345	0.09643502385
346	0.09614377318
347	0.09575285937
348	0.09536222945
349	0.09518551655
350	0.09474325595
351	0.09450184193
352	0.09424811894
353	0.09380157928
354	0.09362607195
355	0.0933040358
356	0.09299480468
357	0.09273382495
358	0.09240445022
359	0.09226114413
360	0.09193861407
361	0.09163442986
362	0.09142695237
363	0.09119344443
364	0.09100441095
365	0.09077435324
366	0.09047784592
367	0.09028794302
368	0.09008248754
369	0.0897336019
370	0.08949000218
371	0.0891331646
372	0.08877292126
373	0.08848509198
374	0.08825894292
375	0.08791174567
376	0.0876451107
377	0.08735500901
378	0.08727629472
379	0.08700913123
380	0.08658422309
381	0.08630120707
382	0.08618143947
383	0.08600973563
384	0.08557975216
385	0.08542867498
386	0.0850530683
387	0.08466979373
388	0.08439089848
389	0.08409679901
390	0.08379493011
391	0.08359512854
392	0.08333612826
393	0.08299164635
394	0.08272297241
395	0.0824370118
396	0.08215022941
397	0.08187791397
398	0.08156409916
399	0.0813267698
400	0.08104300314
401	0.08078088101
402	0.08048336576
403	0.08031380413
404	0.07999461491
405	0.07982487184
406	0.07970805405
407	0.07952410503
408	0.07922446178
409	0.07891174455
410	0.0785825602
